City,Type,12 AM,1 AM,2 AM,3 AM,4 AM,5 AM,6 AM,7 AM,8 AM,9 AM,10 AM,11 AM,12 PM,1 PM,2 PM,3 PM,4 PM,5 PM,6 PM,7 PM,8 PM,9 PM,10 PM,11 PM
Boston,Passenger car,118,130,105,61,47,43,81,175,205,213,151,125,176,161,167,218,207,225,205,156,116,114,118,120
Boston,Light Truck,47,34,31,25,12,21,47,83,114,91,56,63,107,77,71,116,118,122,96,61,47,50,50,40
Boston,Bus,4,1,3,3,0,1,5,7,5,11,2,6,3,3,5,9,12,5,9,2,2,4,2,0
Boston,Motorcycle,3,3,2,3,0,0,2,1,3,3,2,2,2,3,2,10,6,4,8,4,3,3,6,5
Boston,MOPED,1,0,0,0,0,0,0,1,0,0,1,2,0,0,1,1,0,0,1,1,1,1,0,0
Boston,Other,3,0,1,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,1,1,1,0,1,0
Boston,Not Reported,0,2,1,0,2,0,1,1,3,2,0,3,5,2,1,2,3,1,3,2,1,3,6,5
Boston,Unknown Vehicle Configuration,4,2,2,4,0,0,2,7,9,9,3,2,10,5,5,3,8,4,9,4,2,7,1,1
Boston,Single-unit truck,2,2,2,1,0,2,2,8,8,11,4,8,5,10,12,10,6,4,2,4,0,1,0,1
Boston,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boston,Trucktrailer,1,1,0,0,0,0,3,1,2,5,6,5,3,1,5,3,1,0,0,1,2,0,0,0
Brockton,Passenger car,54,55,42,23,17,36,66,131,125,128,149,140,197,177,241,227,235,235,166,134,106,94,77,65
Brockton,Light Truck,8,8,4,4,2,4,13,10,14,17,16,7,17,17,20,29,37,27,17,13,10,12,8,11
Brockton,Bus,0,0,0,0,0,0,1,3,4,2,1,1,2,2,6,5,4,3,1,0,0,1,0,0
Brockton,Motorcycle,0,1,0,2,0,1,1,1,2,1,2,2,0,0,6,0,1,1,5,4,1,0,1,0
Brockton,MOPED,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,2,0,1,2,0,1,0,0
Brockton,Other,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,1,0
Brockton,Not Reported,0,0,0,1,0,0,0,0,1,0,0,0,1,3,0,0,1,1,2,0,0,0,0,0
Brockton,Unknown Vehicle Configuration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brockton,Single-unit truck,0,0,0,0,0,0,1,0,1,1,1,3,1,3,1,1,2,4,3,1,0,0,0,0
Brockton,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brockton,Trucktrailer,0,0,0,0,0,3,0,2,3,0,2,2,4,3,2,1,1,0,0,2,0,1,0,0
Brookline,Passenger car,8,1,4,3,1,9,15,9,12,13,15,11,25,13,14,12,16,12,12,6,2,5,5,223
Brookline,Light Truck,0,1,0,0,1,0,5,2,3,2,0,2,6,4,2,6,3,2,3,1,0,0,0,43
Brookline,Bus,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
Brookline,Motorcycle,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Brookline,MOPED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookline,Other,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Brookline,Not Reported,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,6
Brookline,Unknown Vehicle Configuration,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,2,9
Brookline,Single-unit truck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,3
Brookline,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brookline,Trucktrailer,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,5
Cambridge,Passenger car,52,33,26,19,10,14,29,48,99,105,70,88,99,83,92,92,96,83,99,78,53,40,31,38
Cambridge,Light Truck,11,6,11,3,1,6,13,30,38,48,37,55,39,33,32,39,27,33,27,20,12,10,14,10
Cambridge,Bus,0,0,1,0,0,0,0,3,6,1,5,3,2,2,1,3,2,3,0,0,0,1,0,1
Cambridge,Motorcycle,0,1,0,0,0,0,0,1,0,2,0,0,2,2,1,3,1,1,3,0,0,2,1,0
Cambridge,MOPED,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,1
Cambridge,Other,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
Cambridge,Not Reported,11,2,2,1,0,6,5,9,9,10,17,9,23,12,10,9,12,13,14,4,14,7,5,5
Cambridge,Unknown Vehicle Configuration,6,3,2,1,3,3,2,10,13,4,11,14,15,5,8,6,5,3,6,2,5,5,2,4
Cambridge,Single-unit truck,0,0,0,0,0,1,3,7,7,6,3,4,5,2,6,4,2,0,1,0,0,1,0,0
Cambridge,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge,Trucktrailer,0,0,0,1,0,0,0,0,3,1,1,3,0,2,0,3,0,0,0,1,0,0,0,0
Fall River,Passenger car,56,39,53,28,18,21,56,174,189,183,203,222,278,190,254,286,390,260,224,149,123,103,77,76
Fall River,Light Truck,4,8,3,3,1,4,8,28,20,26,22,16,31,27,24,28,28,35,21,15,6,10,4,6
Fall River,Bus,0,0,1,0,0,0,1,4,2,2,1,2,0,1,8,3,3,3,0,1,0,0,0,0
Fall River,Motorcycle,0,0,0,0,0,1,1,2,0,1,1,1,0,2,4,6,3,5,1,2,3,0,0,0
Fall River,MOPED,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,3,0,0,2,0,0,1
Fall River,Other,1,0,1,0,0,0,0,0,2,1,2,2,1,1,3,3,4,3,0,1,0,0,1,0
Fall River,Not Reported,0,0,2,0,0,1,0,1,0,1,1,2,1,3,2,2,1,6,0,2,4,3,0,1
Fall River,Unknown Vehicle Configuration,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,1,1,0,0,0,0,0
Fall River,Single-unit truck,0,0,0,0,0,0,0,2,5,7,3,2,5,6,2,4,1,2,1,0,0,0,2,0
Fall River,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Fall River,Trucktrailer,1,0,1,0,0,0,0,2,8,2,0,4,2,4,2,4,2,4,2,0,0,1,0,0
Framingham,Passenger car,41,19,18,11,5,6,31,73,90,77,43,78,66,83,101,117,129,130,82,62,56,44,37,22
Framingham,Light Truck,12,2,10,5,5,3,14,41,30,42,18,38,29,42,39,48,55,38,27,23,24,19,19,11
Framingham,Bus,0,0,1,1,0,0,2,3,1,1,0,0,2,0,5,3,0,0,0,0,1,0,0,0
Framingham,Motorcycle,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,2,0,1,2,0,2,0,1
Framingham,MOPED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Framingham,Other,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Framingham,Not Reported,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
Framingham,Unknown Vehicle Configuration,1,1,2,0,1,0,1,1,4,1,2,2,5,2,2,2,3,4,2,1,0,2,2,0
Framingham,Single-unit truck,4,0,0,2,0,0,2,2,6,7,6,1,1,1,5,3,5,2,1,0,0,1,0,0
Framingham,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Framingham,Trucktrailer,0,0,0,0,0,0,0,0,2,1,0,1,1,1,1,1,0,1,0,1,1,0,0,1
Haverhill,Passenger car,9,18,20,11,6,14,30,70,65,65,96,89,92,117,109,142,128,121,122,58,43,71,33,26
Haverhill,Light Truck,1,2,2,1,0,0,7,13,15,10,15,19,23,27,29,39,44,17,25,10,11,19,7,2
Haverhill,Bus,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,3,1,1,2,0,1,0,0,0
Haverhill,Motorcycle,0,0,0,0,0,0,0,1,1,1,1,0,3,2,1,3,1,2,3,6,0,1,1,1
Haverhill,MOPED,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0
Haverhill,Other,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0
Haverhill,Not Reported,1,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,2,3,0,1,2,0,1,1
Haverhill,Unknown Vehicle Configuration,0,0,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,2,0,0,1,0
Haverhill,Single-unit truck,0,0,0,0,0,0,2,0,1,0,3,2,5,1,6,1,3,0,0,0,0,0,0,1
Haverhill,Motor homerecreational vehicle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Haverhill,Trucktrailer,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
Lawrence,Passenger car,35,37,14,14,15,13,21,49,67,55,45,72,66,104,101,89,95,54,63,35,25,31,19,24
Lawrence,Light Truck,20,12,3,3,5,5,17,24,39,28,24,28,34,41,45,44,53,30,35,19,21,15,10,14
