City,Street,fall,spring,summer,winter
Boston,Rte 93 S,89,72,74,74
Boston,Rte 93 N,73,54,84,56
Boston,STORROW DRIVE,22,27,15,20
Boston,Rte 90 W,25,15,19,17
Boston,WASHINGTON STREET,13,19,16,19
Boston,WILLIAM T MORRISSEY BOULEVARD,22,31,4,8
Boston,SOLDIERS FIELD ROAD,16,18,14,14
Boston,DORCHESTER AVENUE,8,22,11,19
Boston,Rte 90 E,15,11,16,15
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,14,15,15,8
Brockton,MAIN ST,29,29,36,25
Brockton,BELMONT ST,33,26,28,28
Brockton,PLEASANT ST,25,21,29,11
Brockton,WARREN AVE,22,17,16,15
Brockton,CRESCENT ST,21,10,15,16
Brockton,CENTRE ST,23,8,12,9
Brockton,MONTELLO ST,15,9,15,12
Brockton,OAK ST,21,9,13,5
Brockton,N MONTELLO ST,12,11,14,8
Brockton,FOREST AVE,11,12,8,11
Brookline,BEACON STREET,,2,13,7
Brookline,HARVARD STREET,,4,7,6
Brookline,WASHINGTON STREET,,1,4,3
Brookline,HORACE JAMES CIRCLE,1,4,2,
Brookline,VETERANS OF FOREIGN WARS PARKWAY,2,,1,3
Brookline,SAINT PAUL STREET,,1,3,2
Brookline,HAMMOND POND PARKWAY,2,1,2,1
Brookline,BOYLSTON STREET,,,3,3
Brookline,LONGWOOD AVENUE,,,3,3
Brookline,BOYLSTON STREET Rte 9 W,,,4,1
Cambridge,MASSACHUSETTS AVENUE,67,52,59,48
Cambridge,CAMBRIDGE STREET,13,22,14,17
Cambridge,MEMORIAL DRIVE,16,15,7,17
Cambridge,MOUNT AUBURN STREET,16,12,10,12
Cambridge,BROADWAY,16,10,10,13
Cambridge,HAMPSHIRE STREET,8,8,7,4
Cambridge,PROSPECT STREET,9,10,4,3
Cambridge,GARDEN STREET,7,4,6,5
Cambridge,MAIN STREET,6,9,4,3
Cambridge,PUTNAM AVENUE,4,6,7,4
Fall River,PLEASANT ST,34,20,34,20
Fall River,PLYMOUTH AVE,25,17,23,22
Fall River,SOUTH MAIN ST,25,13,29,14
Fall River,PRESIDENT AVE,20,17,22,18
Fall River,NORTH MAIN ST,15,12,24,21
Fall River,BEDFORD ST,17,17,18,18
Fall River,BROADWAY,13,12,11,13
Fall River,ROBESON ST,12,8,14,11
Fall River,RODMAN ST,8,6,13,9
Fall River,NORTH MAIN STREET,10,5,9,9
Framingham,WORCESTER ROAD,23,16,12,23
Framingham,WORCESTER ROAD Rte 9 E,17,13,16,22
Framingham,WORCESTER ROAD Rte 9 W,16,12,18,16
Framingham,Rte 90 E,19,14,14,12
Framingham,CONCORD ST,14,10,7,11
Framingham,Rte 90 W,14,8,12,8
Framingham,EDGELL RD,10,4,7,5
Framingham,COCHITUATE RD,13,5,4,1
Framingham,CONCORD ST Rte 126 N,7,6,5,2
