City,Street,Time,value
Boston,Rte 93 S,fall,89
Boston,Rte 93 S,spring,72
Boston,Rte 93 S,summer,74
Boston,Rte 93 S,winter,74
Boston,Rte 93 N,fall,73
Boston,Rte 93 N,spring,54
Boston,Rte 93 N,summer,84
Boston,Rte 93 N,winter,56
Boston,STORROW DRIVE,fall,22
Boston,STORROW DRIVE,spring,27
Boston,STORROW DRIVE,summer,15
Boston,STORROW DRIVE,winter,20
Boston,Rte 90 W,fall,25
Boston,Rte 90 W,spring,15
Boston,Rte 90 W,summer,19
Boston,Rte 90 W,winter,17
Boston,WASHINGTON STREET,fall,13
Boston,WASHINGTON STREET,spring,19
Boston,WASHINGTON STREET,summer,16
Boston,WASHINGTON STREET,winter,19
Boston,WILLIAM T MORRISSEY BOULEVARD,fall,22
Boston,WILLIAM T MORRISSEY BOULEVARD,spring,31
Boston,WILLIAM T MORRISSEY BOULEVARD,summer,4
Boston,WILLIAM T MORRISSEY BOULEVARD,winter,8
Boston,SOLDIERS FIELD ROAD,fall,16
Boston,SOLDIERS FIELD ROAD,spring,18
Boston,SOLDIERS FIELD ROAD,summer,14
Boston,SOLDIERS FIELD ROAD,winter,14
Boston,DORCHESTER AVENUE,fall,8
Boston,DORCHESTER AVENUE,spring,22
Boston,DORCHESTER AVENUE,summer,11
Boston,DORCHESTER AVENUE,winter,19
Boston,Rte 90 E,fall,15
Boston,Rte 90 E,spring,11
Boston,Rte 90 E,summer,16
Boston,Rte 90 E,winter,15
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,fall,14
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,spring,15
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,summer,15
Boston,JOHN F FITZGERALD EXPRESSWAY Rte 93 N,winter,8
Brockton,MAIN ST,fall,29
Brockton,MAIN ST,spring,29
Brockton,MAIN ST,summer,36
Brockton,MAIN ST,winter,25
Brockton,BELMONT ST,fall,33
Brockton,BELMONT ST,spring,26
Brockton,BELMONT ST,summer,28
Brockton,BELMONT ST,winter,28
Brockton,PLEASANT ST,fall,25
Brockton,PLEASANT ST,spring,21
Brockton,PLEASANT ST,summer,29
Brockton,PLEASANT ST,winter,11
Brockton,WARREN AVE,fall,22
Brockton,WARREN AVE,spring,17
Brockton,WARREN AVE,summer,16
Brockton,WARREN AVE,winter,15
Brockton,CRESCENT ST,fall,21
Brockton,CRESCENT ST,spring,10
Brockton,CRESCENT ST,summer,15
Brockton,CRESCENT ST,winter,16
Brockton,CENTRE ST,fall,23
Brockton,CENTRE ST,spring,8
Brockton,CENTRE ST,summer,12
Brockton,CENTRE ST,winter,9
Brockton,MONTELLO ST,fall,15
Brockton,MONTELLO ST,spring,9
Brockton,MONTELLO ST,summer,15
Brockton,MONTELLO ST,winter,12
Brockton,OAK ST,fall,21
Brockton,OAK ST,spring,9
Brockton,OAK ST,summer,13
Brockton,OAK ST,winter,5
Brockton,N MONTELLO ST,fall,12
Brockton,N MONTELLO ST,spring,11
Brockton,N MONTELLO ST,summer,14
Brockton,N MONTELLO ST,winter,8
Brockton,FOREST AVE,fall,11
Brockton,FOREST AVE,spring,12
Brockton,FOREST AVE,summer,8
Brockton,FOREST AVE,winter,11
Brookline,BEACON STREET,fall,NA
Brookline,BEACON STREET,spring,2
Brookline,BEACON STREET,summer,13
Brookline,BEACON STREET,winter,7
Brookline,HARVARD STREET,fall,NA
Brookline,HARVARD STREET,spring,4
Brookline,HARVARD STREET,summer,7
Brookline,HARVARD STREET,winter,6
Brookline,WASHINGTON STREET,fall,NA
Brookline,WASHINGTON STREET,spring,1
Brookline,WASHINGTON STREET,summer,4
Brookline,WASHINGTON STREET,winter,3
Brookline,HORACE JAMES CIRCLE,fall,1
Brookline,HORACE JAMES CIRCLE,spring,4
Brookline,HORACE JAMES CIRCLE,summer,2
Brookline,HORACE JAMES CIRCLE,winter,NA
Brookline,VETERANS OF FOREIGN WARS PARKWAY,fall,2
Brookline,VETERANS OF FOREIGN WARS PARKWAY,spring,NA
Brookline,VETERANS OF FOREIGN WARS PARKWAY,summer,1
Brookline,VETERANS OF FOREIGN WARS PARKWAY,winter,3
Brookline,SAINT PAUL STREET,fall,NA
Brookline,SAINT PAUL STREET,spring,1
Brookline,SAINT PAUL STREET,summer,3
Brookline,SAINT PAUL STREET,winter,2
Brookline,HAMMOND POND PARKWAY,fall,2
Brookline,HAMMOND POND PARKWAY,spring,1
Brookline,HAMMOND POND PARKWAY,summer,2
Brookline,HAMMOND POND PARKWAY,winter,1
Brookline,BOYLSTON STREET,fall,NA
Brookline,BOYLSTON STREET,spring,NA
Brookline,BOYLSTON STREET,summer,3
Brookline,BOYLSTON STREET,winter,3
Brookline,LONGWOOD AVENUE,fall,NA
Brookline,LONGWOOD AVENUE,spring,NA
Brookline,LONGWOOD AVENUE,summer,3
Brookline,LONGWOOD AVENUE,winter,3
Brookline,BOYLSTON STREET Rte 9 W,fall,NA
Brookline,BOYLSTON STREET Rte 9 W,spring,NA
Brookline,BOYLSTON STREET Rte 9 W,summer,4
Brookline,BOYLSTON STREET Rte 9 W,winter,1
Cambridge,MASSACHUSETTS AVENUE,fall,67
Cambridge,MASSACHUSETTS AVENUE,spring,52
Cambridge,MASSACHUSETTS AVENUE,summer,59
Cambridge,MASSACHUSETTS AVENUE,winter,48
Cambridge,CAMBRIDGE STREET,fall,13
Cambridge,CAMBRIDGE STREET,spring,22
Cambridge,CAMBRIDGE STREET,summer,14
Cambridge,CAMBRIDGE STREET,winter,17
Cambridge,MEMORIAL DRIVE,fall,16
Cambridge,MEMORIAL DRIVE,spring,15
Cambridge,MEMORIAL DRIVE,summer,7
Cambridge,MEMORIAL DRIVE,winter,17
Cambridge,MOUNT AUBURN STREET,fall,16
Cambridge,MOUNT AUBURN STREET,spring,12
Cambridge,MOUNT AUBURN STREET,summer,10
Cambridge,MOUNT AUBURN STREET,winter,12
Cambridge,BROADWAY,fall,16
Cambridge,BROADWAY,spring,10
Cambridge,BROADWAY,summer,10
Cambridge,BROADWAY,winter,13
Cambridge,HAMPSHIRE STREET,fall,8
Cambridge,HAMPSHIRE STREET,spring,8
Cambridge,HAMPSHIRE STREET,summer,7
Cambridge,HAMPSHIRE STREET,winter,4
Cambridge,PROSPECT STREET,fall,9
Cambridge,PROSPECT STREET,spring,10
Cambridge,PROSPECT STREET,summer,4
Cambridge,PROSPECT STREET,winter,3
Cambridge,GARDEN STREET,fall,7
Cambridge,GARDEN STREET,spring,4
Cambridge,GARDEN STREET,summer,6
Cambridge,GARDEN STREET,winter,5
Cambridge,MAIN STREET,fall,6
Cambridge,MAIN STREET,spring,9
Cambridge,MAIN STREET,summer,4
Cambridge,MAIN STREET,winter,3
Cambridge,PUTNAM AVENUE,fall,4
Cambridge,PUTNAM AVENUE,spring,6
Cambridge,PUTNAM AVENUE,summer,7
Cambridge,PUTNAM AVENUE,winter,4
Fall River,PLEASANT ST,fall,34
Fall River,PLEASANT ST,spring,20
Fall River,PLEASANT ST,summer,34
Fall River,PLEASANT ST,winter,20
Fall River,PLYMOUTH AVE,fall,25
Fall River,PLYMOUTH AVE,spring,17
Fall River,PLYMOUTH AVE,summer,23
Fall River,PLYMOUTH AVE,winter,22
Fall River,SOUTH MAIN ST,fall,25
Fall River,SOUTH MAIN ST,spring,13
Fall River,SOUTH MAIN ST,summer,29
Fall River,SOUTH MAIN ST,winter,14
Fall River,PRESIDENT AVE,fall,20
Fall River,PRESIDENT AVE,spring,17
Fall River,PRESIDENT AVE,summer,22
Fall River,PRESIDENT AVE,winter,18
Fall River,NORTH MAIN ST,fall,15
Fall River,NORTH MAIN ST,spring,12
Fall River,NORTH MAIN ST,summer,24
Fall River,NORTH MAIN ST,winter,21
Fall River,BEDFORD ST,fall,17
Fall River,BEDFORD ST,spring,17
Fall River,BEDFORD ST,summer,18
Fall River,BEDFORD ST,winter,18
Fall River,BROADWAY,fall,13
Fall River,BROADWAY,spring,12
Fall River,BROADWAY,summer,11
Fall River,BROADWAY,winter,13
Fall River,ROBESON ST,fall,12
Fall River,ROBESON ST,spring,8
Fall River,ROBESON ST,summer,14
Fall River,ROBESON ST,winter,11
Fall River,RODMAN ST,fall,8
Fall River,RODMAN ST,spring,6
Fall River,RODMAN ST,summer,13
Fall River,RODMAN ST,winter,9
Fall River,NORTH MAIN STREET,fall,10
Fall River,NORTH MAIN STREET,spring,5
Fall River,NORTH MAIN STREET,summer,9
Fall River,NORTH MAIN STREET,winter,9
Framingham,WORCESTER ROAD,fall,23
Framingham,WORCESTER ROAD,spring,16
Framingham,WORCESTER ROAD,summer,12
Framingham,WORCESTER ROAD,winter,23
Framingham,WORCESTER ROAD Rte 9 E,fall,17
Framingham,WORCESTER ROAD Rte 9 E,spring,13
Framingham,WORCESTER ROAD Rte 9 E,summer,16
Framingham,WORCESTER ROAD Rte 9 E,winter,22
Framingham,WORCESTER ROAD Rte 9 W,fall,16
Framingham,WORCESTER ROAD Rte 9 W,spring,12
Framingham,WORCESTER ROAD Rte 9 W,summer,18
Framingham,WORCESTER ROAD Rte 9 W,winter,16
Framingham,Rte 90 E,fall,19
Framingham,Rte 90 E,spring,14
Framingham,Rte 90 E,summer,14
Framingham,Rte 90 E,winter,12
Framingham,CONCORD ST,fall,14
Framingham,CONCORD ST,spring,10
Framingham,CONCORD ST,summer,7
Framingham,CONCORD ST,winter,11
Framingham,Rte 90 W,fall,14
Framingham,Rte 90 W,spring,8
Framingham,Rte 90 W,summer,12
Framingham,Rte 90 W,winter,8
Framingham,EDGELL RD,fall,10
Framingham,EDGELL RD,spring,4
Framingham,EDGELL RD,summer,7
Framingham,EDGELL RD,winter,5
Framingham,COCHITUATE RD,fall,13
Framingham,COCHITUATE RD,spring,5
Framingham,COCHITUATE RD,summer,4
Framingham,COCHITUATE RD,winter,1
Framingham,CONCORD ST Rte 126 N,fall,7
Framingham,CONCORD ST Rte 126 N,spring,6
Framingham,CONCORD ST Rte 126 N,summer,5
Framingham,CONCORD ST Rte 126 N,winter,2
Framingham,CONCORD STREET Rte 126 S,fall,8
Framingham,CONCORD STREET Rte 126 S,spring,5
Framingham,CONCORD STREET Rte 126 S,summer,5
Framingham,CONCORD STREET Rte 126 S,winter,1
Haverhill,MAIN ST,fall,11
