City,Street,Time,value
Boston,Rte 93 S,12 AM,11
Boston,Rte 93 S,1 AM,11
Boston,Rte 93 S,2 AM,15
Boston,Rte 93 S,3 AM,7
Boston,Rte 93 S,4 AM,5
Boston,Rte 93 S,5 AM,3
Boston,Rte 93 S,6 AM,5
Boston,Rte 93 S,7 AM,12
Boston,Rte 93 S,8 AM,17
Boston,Rte 93 S,9 AM,21
Boston,Rte 93 S,10 AM,9
Boston,Rte 93 S,11 AM,17
Boston,Rte 93 S,12 PM,18
Boston,Rte 93 S,1 PM,11
Boston,Rte 93 S,2 PM,18
Boston,Rte 93 S,3 PM,19
Boston,Rte 93 S,4 PM,19
Boston,Rte 93 S,5 PM,21
Boston,Rte 93 S,6 PM,17
Boston,Rte 93 S,7 PM,10
Boston,Rte 93 S,8 PM,12
Boston,Rte 93 S,9 PM,11
Boston,Rte 93 S,10 PM,10
Boston,Rte 93 S,11 PM,10
Boston,Rte 93 N,12 AM,5
Boston,Rte 93 N,1 AM,8
Boston,Rte 93 N,2 AM,9
Boston,Rte 93 N,3 AM,7
Boston,Rte 93 N,4 AM,3
Boston,Rte 93 N,5 AM,10
Boston,Rte 93 N,6 AM,10
Boston,Rte 93 N,7 AM,24
Boston,Rte 93 N,8 AM,20
Boston,Rte 93 N,9 AM,17
Boston,Rte 93 N,10 AM,12
Boston,Rte 93 N,11 AM,15
Boston,Rte 93 N,12 PM,15
Boston,Rte 93 N,1 PM,12
Boston,Rte 93 N,2 PM,6
Boston,Rte 93 N,3 PM,13
Boston,Rte 93 N,4 PM,12
Boston,Rte 93 N,5 PM,13
Boston,Rte 93 N,6 PM,17
Boston,Rte 93 N,7 PM,8
Boston,Rte 93 N,8 PM,5
Boston,Rte 93 N,9 PM,8
Boston,Rte 93 N,10 PM,7
Boston,Rte 93 N,11 PM,11
Boston,STORROW DRIVE,12 AM,2
Boston,STORROW DRIVE,1 AM,5
Boston,STORROW DRIVE,2 AM,4
Boston,STORROW DRIVE,3 AM,4
Boston,STORROW DRIVE,4 AM,1
Boston,STORROW DRIVE,5 AM,0
Boston,STORROW DRIVE,6 AM,0
Boston,STORROW DRIVE,7 AM,3
Boston,STORROW DRIVE,8 AM,2
Boston,STORROW DRIVE,9 AM,11
Boston,STORROW DRIVE,10 AM,4
Boston,STORROW DRIVE,11 AM,5
Boston,STORROW DRIVE,12 PM,4
Boston,STORROW DRIVE,1 PM,6
